Id,m1
StatusCode,Complete
Messages,
Full label,eu-west-2:AWS/RDS DBInstanceIdentifier:medicore-postgresql CPUUtilization Average 60
Label,CPUUtilization
2026/08/19 12:39:00,3.6880400939076576
2026/08/19 12:40:00,3.450057500958349
2026/08/19 12:41:00,3.9622956289622957
2026/08/19 12:42:00,3.299890003666545
2026/08/19 12:43:00,3.283388056467608
2026/08/19 12:44:00,3.729727929667988
2026/08/19 12:45:00,3.933267778870352
2026/08/19 12:46:00,3.641545281823939
2026/08/19 12:47:00,3.2950715739597585
2026/08/19 12:48:00,3.379897104610312
2026/08/19 12:49:00,3.9750662511041854
2026/08/19 12:50:00,3.766666666666666
2026/08/19 12:51:00,3.6786786786786783
2026/08/19 12:52:00,3.696303696303696
2026/08/19 12:53:00,6.239572906239573
2026/08/19 12:54:00,4.2291042291042285
2026/08/19 12:55:00,4.125068751145852
2026/08/19 12:56:00,3.6035434844263525
2026/08/19 12:57:00,3.5083333333333337
2026/08/19 12:58:00,3.5416666666666665
2026/08/19 12:59:00,3.787941857173779
2026/08/19 13:00:00,4.145743314259022
2026/08/19 13:01:00,4.3622317310734084
2026/08/19 13:02:00,3.7083951399189985
2026/08/19 13:03:00,3.5333333333333337
2026/08/19 13:04:00,4.083333333333334
2026/08/19 13:05:00,4.208333333333334
2026/08/19 13:06:00,3.4666088898518357
2026/08/19 13:07:00,3.4535110695874134
2026/08/19 13:08:00,3.308333333333333
2026/08/19 13:09:00,4.333333333333334
2026/08/19 13:10:00,3.8461538461538463
2026/08/19 13:11:00,3.4451117784451117
2026/08/19 13:12:00,3.2550240588734782
2026/08/19 13:13:00,3.3367256710989506
2026/08/19 13:14:00,4.0126540126540124
2026/08/19 13:15:00,4.033333333333333
2026/08/19 13:16:00,3.1916134731087817
2026/08/19 13:17:00,3.320042042743456
2026/08/19 13:18:00,3.3166666666666664
2026/08/19 13:19:00,3.8083333333333327
2026/08/19 13:20:00,3.67965367965368
2026/08/19 13:21:00,3.675
2026/08/19 13:22:00,3.2415586147128432
2026/08/19 13:23:00,4.963462244319129
2026/08/19 13:24:00,4.041666666666666
2026/08/19 13:25:00,4.05
2026/08/19 13:26:00,3.5630442383576697
2026/08/19 13:27:00,3.2667211120185335
2026/08/19 13:28:00,3.391666666666666
2026/08/19 13:29:00,3.625
2026/08/19 13:30:00,3.7583333333333333
2026/08/19 13:31:00,3.570236903570237
2026/08/19 13:32:00,3.196803196803197
2026/08/19 13:33:00,3.650060834347239
2026/08/19 13:34:00,3.8082063931202295
2026/08/19 13:35:00,3.4667244454074235
2026/08/19 13:36:00,3.1666666666666665
2026/08/19 13:37:00,3.1865198531865193
2026/08/19 13:38:00,3.433333333333333
2026/08/19 13:39:00,3.779490850968182
2026/08/19 13:40:00,3.5536128397203823
2026/08/19 13:41:00,3.463145801768203
2026/08/19 13:42:00,3.4000566676111266
2026/08/19 13:43:00,3.5083333333333337
2026/08/19 13:44:00,3.725062084368073
2026/08/19 13:45:00,3.9872541332310103
2026/08/19 13:46:00,3.205128205128205
2026/08/19 13:47:00,3.4367701034367704
2026/08/19 13:48:00,3.1135531135531136
2026/08/19 13:49:00,3.903903903903904
2026/08/19 13:50:00,3.5999999999999996
2026/08/19 13:51:00,3.538128538128538
2026/08/19 13:52:00,3.38672005338672
2026/08/19 13:53:00,4.849919168013867
2026/08/19 13:54:00,4.199930001166647
2026/08/19 13:55:00,3.241720695344923
2026/08/19 13:56:00,3.583273612106465
2026/08/19 13:57:00,3.3249999999999997
2026/08/19 13:58:00,3.158333333333333
2026/08/19 13:59:00,3.641666666666666
2026/08/19 14:00:00,4.083333333333334
2026/08/19 14:01:00,3.766666666666666
2026/08/19 14:02:00,3.1885312775770496
2026/08/19 14:03:00,3.3700929278099405
2026/08/19 14:04:00,3.7378665023892377
2026/08/19 14:05:00,3.795525450875056
2026/08/19 14:06:00,3.538128538128538
2026/08/19 14:07:00,3.225
2026/08/19 14:08:00,3.1582806953217446
2026/08/19 14:09:00,3.7333955565926096
2026/08/19 14:10:00,3.6083333333333334
2026/08/19 14:11:00,3.75
2026/08/19 14:12:00,3.4750579176319607
2026/08/19 14:13:00,3.111392869655161
2026/08/19 14:14:00,3.75
2026/08/19 14:15:00,3.4382284382284385
2026/08/19 14:16:00,3.6786786786786783
2026/08/19 14:17:00,3.241666666666667
2026/08/19 14:18:00,3.221831865332423
2026/08/19 14:19:00,3.8204234163594206
2026/08/19 14:20:00,3.4166666666666665
